"id","label","skill_type","source_ids","target_mode","unlock_tech","status"
"build_refinery","Build Refinery","build","worker|base","placement","","planned"
"build_forward_outpost","Build Forward Outpost","build","worker|base","placement","","planned"
"build_armory","Build Armory","build","worker|base","placement","","planned"
"build_sensor_spire","Build Sensor Spire","build","worker|base","placement","","planned"
"build_med_bay","Build Med Bay","build","worker|base","placement","field_logistics","planned"
"train_salvage_truck","Salvage Truck","train","forward_outpost","none","field_logistics","planned"
"train_gas_siphon_drone","Gas Siphon Drone","train","refinery","none","auto_refining","planned"
"train_combat_medic","Combat Medic","train","med_bay","none","combat_medicine","planned"
"train_breacher","Breacher","train","barracks","none","squad_tactics","planned"
"train_grenadier","Grenadier","train","barracks","none","squad_tactics","planned"
"train_suppressor","Suppressor","train","armory","none","composite_ballistics","planned"
"train_recon_sniper","Recon Sniper","train","sensor_spire","none","adaptive_camouflage","planned"
"train_flamelancer","Flame Lancer","train","bio_vat","none","heavy_plating","planned"
"research_auto_refining","Auto Refining","research","refinery","none","auto_refining","planned"
"research_combat_medicine","Combat Medicine","research","med_bay","none","combat_medicine","planned"
"research_emergency_repair","Emergency Repair","research","med_bay","none","emergency_repair","planned"
"research_squad_tactics","Squad Tactics","research","academy","none","squad_tactics","planned"
"research_stim_injection","Stim Injection","research","academy","none","stim_injection","planned"
"research_adaptive_camouflage","Adaptive Camouflage","research","sensor_spire","none","adaptive_camouflage","planned"
"research_composite_ballistics","Composite Ballistics","research","armory","none","composite_ballistics","planned"
