"id","display_name","tier","branch","research_buildings","requires_tech","status"
"logistics_network","Logistics Network","T3","logistics","command_uplink","support_protocols","planned"
"mech_weapons_2","Mech Weapons II","T3","heavy","tech_lab","mech_weapons_1","planned"
"mech_plating_2","Mech Plating II","T3","heavy","tech_lab","mech_plating_1","planned"
"servo_actuators","Servo Actuators","T3","heavy","engineering_bay","mech_chassis","planned"
"siege_calibration","Siege Calibration","T4","heavy","artillery_foundry","precision_targeting","planned"
"drone_link","Drone Link","T3","support","drone_bay","support_protocols","planned"
"air_control","Air Control","T4","support","air_control_hub","drone_link","planned"
"reactive_shields","Reactive Shields","T3","support","shield_array","infantry_armor_2","planned"
"structure_overclock","Structure Overclock","T3","support","shield_array","support_protocols","planned"
"command_matrix","Command Matrix","T4","command","command_uplink","quantum_command","planned"
