"id","label","skill_type","source_ids","target_mode","unlock_tech","status"
"build_orbital_array","Build Orbital Array","build","worker|base","placement","quantum_command","planned"
"train_infiltrator","Infiltrator","train","psionic_relay","none","adaptive_camouflage","planned"
"train_guardian","Guardian","train","command_uplink","none","command_matrix","planned"
"train_siege_mech","Siege Mech","train","warp_gate","none","precision_targeting","existing"
"train_guardian_tank","Guardian Tank","train","armory","none","mech_plating_3","planned"
"train_disruptor_walker","Disruptor Walker","train","void_core","none","phase_manipulation","planned"
"train_commando","Command Operative","train","void_core","none","quantum_command","existing"
"train_psionic_adept","Psionic Adept","train","psionic_relay","none","phase_manipulation","planned"
"train_warlord","Warlord","train","command_uplink","none","command_matrix","planned"
"research_infantry_weapons_3","Infantry Weapons III","research","tech_lab","none","infantry_weapons_3","planned"
"research_infantry_armor_3","Infantry Armor III","research","tech_lab","none","infantry_armor_3","planned"
"research_mech_weapons_3","Mech Weapons III","research","command_uplink","none","mech_weapons_3","planned"
"research_mech_plating_3","Mech Plating III","research","command_uplink","none","mech_plating_3","planned"
"research_orbital_targeting","Orbital Targeting","research","orbital_array","none","orbital_targeting","planned"
"research_phase_manipulation","Phase Manipulation","research","void_core","none","phase_manipulation","planned"
"research_structure_overclock","Structure Overclock","research","shield_array","none","structure_overclock","planned"
"fortify_mode","Fortify Mode","active","shieldbearer|guardian_tank","none","reactive_shields","planned"
"siege_mode","Siege Mode","active","siege_mech","none","precision_targeting","planned"
"call_drop_pod","Call Drop Pod","active","orbital_array|command_uplink","ground","orbital_targeting","planned"
"orbital_strike","Orbital Strike","active","orbital_array","ground","orbital_targeting","planned"
